County,State,Distance
Ripley County,MO,156.11951
Sherman County,NE,156.06358
Taylor County,WI,155.82187
Miner County,SD,155.65286
Nowata County,OK,155.65163
Mitchell County,KS,155.62552
Jewell County,KS,155.36455
Kidder County,ND,155.24463
Russell County,KS,155.17255
Ford County,KS,155.12595
Douglas County,SD,154.38278
Okaloosa County,FL,154.21936
Webster County,WV,154.03792
Costilla County,CO,153.89438
Johnson County,KY,153.42213
Lac Qui Parle County,MN,153.17172
Mono County,CA,153.08101
Iowa County,WI,152.35152
Jackson County,AL,152.28627
Mingo County,WV,152.10669
Telfair County,GA,151.96378
Emery County,UT,151.92152
Dyer County,TN,151.73015
Mora County,NM,151.46918
Larue County,KY,151.27406
Lee County,KY,151.06155
Greeley County,NE,150.83849
Meigs County,TN,150.73222
Codington County,SD,150.59489
Wayne County,WV,150.53525
Stewart County,TN,150.11893
Ohio County,KY,149.73492
Millard County,UT,149.52304
Grant County,OR,149.00729
Lincoln County,NV,148.70717
Lincoln County,KY,148.70096
Christian County,KY,148.60899
Lemhi County,ID,148.60278
Alamosa County,CO,148.50647
Campbell County,TN,148.28712
Cheyenne County,NE,148.22748
Phillips County,CO,147.87392
Marion County,KY,147.86522
Jackson County,KY,147.74094
Foster County,ND,147.69807
Roane County,TN,147.58249
Dade County,MO,147.55453
Custer County,MT,147.54521
Lyon County,MN,147.46692
Clay County,KY,147.4489
Kiowa County,CO,147.38863
Columbia County,WI,147.17549
Wolfe County,KY,146.79521
Kit Carson County,CO,146.69641
Jasper County,MO,146.68275
Okanogan County,WA,146.38573
Clark County,WI,146.35777
Randolph County,WV,146.16203
Knox County,MO,146.04025
Pawnee County,OK,145.87683
Pulaski County,MO,145.49034
Cabell County,WV,145.11876
Nelson County,ND,145.05103
Lake County,OR,145.0117
Green Lake County,WI,144.81117
Calumet County,WI,144.65521
Hopkins County,KY,144.63905
Shelby County,MO,144.59866
Mcminn County,TN,144.48495
Carter County,KY,144.45514
Jefferson County,AL,144.41287
Mineral County,CO,144.19415
Richland County,WI,144.08977
Price County,WI,144.03322
Hanson County,SD,143.94374
Vilas County,WI,143.90398
Morgan County,MO,143.71942
Modoc County,CA,143.66786
Rhea County,TN,143.64859
Pawnee County,KS,143.59888
Ritchie County,WV,142.98125
Putnam County,WV,142.88554
Webster County,NE,142.6749
Reynolds County,MO,141.97523
Hardin County,KY,141.90813
Tucker County,WV,141.86961
Crenshaw County,AL,141.76521
Juneau County,WI,141.27992
Saguache County,CO,141.20784
Schuyler County,MO,141.19356
Wilcox County,GA,141.16373
Dent County,MO,141.16
Brookings County,SD,141.06306
Yukon-Koyukuk Census Area,AK,140.86375
Washington County,OK,140.78345
Comanche County,KS,140.5318
Day County,SD,140.27393
Kearney County,NE,140.18507
Dallas County,AL,140.08565
Butler County,AL,139.97131
Cheyenne County,CO,139.94397
Edwards County,KS,139.92285
Winnebago County,WI,139.85512
Loudon County,TN,139.75632
Monroe County,MO,139.36983
Menifee County,KY,139.33006
Lafayette County,WI,139.26544
Henry County,TN,139.01752
Woods County,OK,138.86154
Cole County,MO,138.57571
Pipestone County,MN,138.53781
Fayette County,WV,138.46884
Dunklin County,MO,138.21532
San Juan County,UT,138.09477
Grant County,SD,138.01276
Mckinley County,NM,137.90154
Holt County,NE,137.64738
Graham County,AZ,137.26152
Anderson County,TN,137.25903
Bent County,CO,136.98749
Cloud County,KS,136.92101
Coffee County,AL,136.76814
Monroe County,TN,136.54321
Sheridan County,WY,136.27727
Harney County,OR,136.26422
Cass County,MN,136.20767
Forest County,WI,136.09271
Minidoka County,ID,136.06104
Buffalo County,NE,135.91811
Lake County,SD,135.47943
Rockcastle County,KY,135.45271
Cassia County,ID,135.41418
Duchesne County,UT,135.35701
Banner County,NE,135.3477
Grant County,WI,135.26878
Culberson County,TX,135.16315
Beaverhead County,MT,134.98605
La Paz County,AZ,134.80959
Upshur County,WV,134.76422
Yellow Medicine County,MN,134.69339
Marinette County,WI,134.51692
Logan County,OK,134.35661
Shelby County,AL,133.93408
Wyoming County,WV,133.6414
Washington County,KY,133.53018
Chilton County,AL,133.39534
Cottonwood County,MN,133.21391
Marshall County,AL,132.96846
Floyd County,KY,132.93616
Doddridge County,WV,132.86905
Taos County,NM,132.79324
Emmet County,IA,132.79013
Cherokee County,KS,132.78951
Knox County,KY,132.39555
Nelson County,KY,132.23152
Baker County,OR,132.2048
Power County,ID,131.68533
Valdez-Cordova Census Area,AK,131.65157
Polk County,MO,131.55858
Lewis County,WV,131.52998
Rusk County,WI,131.49022
Hickory County,MO,131.41255
Las Animas County,CO,131.33426
Dickey County,ND,131.06769
Crawford County,WI,130.94342
Boyle County,KY,130.93224
Manitowoc County,WI,130.73152
Hyde County,NC,130.73152
Labette County,KS,130.28352
Payne County,OK,130.25121
Swift County,MN,130.11513
Coffee County,GA,130.10643
Lincoln County,KS,130.03062
Wirt County,WV,130.00763
Madison County,MT,129.97345
Mineral County,NV,129.52234
Daviess County,KY,129.21352
Union County,TN,129.15511
Lawrence County,OH,129.14766
Grant County,WV,129.0271
Boyd County,KY,128.9016
Goshen County,WY,128.89476
Blount County,TN,128.82889
Pemiscot County,MO,128.49521
Sequatchie County,TN,128.3119
Trigg County,KY,128.19945
Perry County,KY,128.15718
Marion County,TN,128.11742
Chippewa County,MN,128.07082
Clay County,KS,128.03354
Nuckolls County,NE,127.98444
Walsh County,ND,127.96581
Murray County,MN,127.87943
Park County,MT,127.16237
Butler County,MO,127.15678
Dane County,WI,126.90823
Elliott County,KY,126.83305
Boone County,MO,126.78893
Maries County,MO,126.76531
Riley County,KS,126.65533
Morgan County,KY,126.63918
Republic County,KS,126.47824
Bath County,KY,126.47327
Jackson County,WI,126.35521
Clark County,ID,125.92957
Walton County,FL,125.88732
Howard County,NE,125.83202
Beaufort County,NC,125.78479
Lincoln County,NM,125.78168
Mccook County,SD,125.74751
Sullivan County,MO,125.67854
Boone County,NE,125.59465
San Miguel County,NM,125.56234
Jo Daviess County,IL,125.56234
Estill County,KY,125.5555
Jackson County,MN,125.09631
Palo Alto County,IA,125.03728
Dodge County,GA,125.03417
Moody County,SD,124.785
San Miguel County,CO,124.78376
Powell County,KY,124.55883
Washington County,UT,124.49607
St. Clair County,AL,124.43703
Pleasants County,WV,124.33327
Hidalgo County,NM,124.32706
Lincoln County,MT,124.25249
Washington County,OH,123.91819
Rosebud County,MT,123.86538
Jackson County,WV,123.86538
Martin County,MN,123.85046
Rio Grande County,CO,123.82126
Cedar County,MO,123.73862
Lamoure County,ND,123.63236
Garrard County,KY,123.58638
Lake County,TN,123.30676
Garfield County,OK,122.98614
Keweenaw County,MI,122.91903
Clearwater County,MN,122.51514
Wayne County,MO,122.4822
Scotland County,MO,122.33183
Barbour County,WV,122.17462
Monroe County,FL,122.11497
Redwood County,MN,122.0603
Nicholas County,WV,121.98448
Pope County,MN,121.81796
Todd County,MN,121.81174
Howard County,MO,121.55325
Stevens County,MN,121.51535
Marshall County,SD,121.31589
Breckinridge County,KY,120.79953
Wheeler County,GA,120.72248
Douglas County,WA,120.54539
Carbon County,UT,120.48698
Platte County,WY,120.19556
Wheeler County,OR,120.12161
Washington County,CO,120.09489
Ben Hill County,GA,120.07004
Weakley County,TN,119.87679
Lewis County,MO,119.61147
Warrick County,IN,119.48161
Crow Wing County,MN,119.4698
Barton County,KS,119.44991
Dade County,GA,119.38902
Knott County,KY,119.31445
Gogebic County,MI,119.18832
Mercer County,KY,119.06528
Alfalfa County,OK,118.93356
Hutchinson County,SD,118.88136
Raleigh County,WV,118.61292
Audrain County,MO,118.43584
Pamlico County,NC,118.3476
Linn County,MO,118.26682
Elk County,PA,118.15249
Bingham County,ID,118.11893
Ontonagon County,MI,117.84491
Caldwell County,KY,117.64918
Menominee County,MI,117.64297
Atkinson County,GA,117.60879
Rock County,MN,117.60072
Montgomery County,KS,117.47395
Moniteau County,MO,117.46463
Mohave County,AZ,117.34347
Mason County,WV,117.23286
Callaway County,MO,117.12164
Obion County,TN,117.11729
Fond Du Lac County,WI,117.10237
Sanpete County,UT,116.83332
Montgomery County,KY,116.62453
Osage County,MO,116.53506
Iron County,WI,116.51766
Calloway County,KY,116.4288
Petersburg Borough,AK,116.29099
Madison County,KY,116.24674
Phelps County,MO,116.14795
Neosho County,KS,116.08705
Moffat County,CO,115.96651
Wabash County,IL,115.83974
Lowndes County,AL,115.79563
Greenup County,KY,115.39236
Bay County,FL,115.35135
Spencer County,KY,115.29543
Knox County,TN,115.23515
Geneva County,AL,115.17115
Worth County,MO,115.02264
Ellsworth County,KS,115.00276
Pocahontas County,WV,114.76229
Green County,WI,114.66287
Claiborne County,TN,114.43359
Alcona County,MI,114.3149
Vanderburgh County,IN,114.19435
Marshall County,MN,114.07381
Southeast Fairbanks Census Area,AK,114.05594
Adams County,IN,113.80165
Gila County,AZ,113.742
Cook County,MN,113.45244
Barton County,MO,113.36731
Bullitt County,KY,113.36669
Pennington County,MN,113.28032
Kauai County,HI,113.26621
Ralls County,MO,113.1517
Iron County,MO,113.1169
Talladega County,AL,113.04606
Jeff Davis County,GA,113.03674
Routt County,CO,112.64279
Davis County,IA,112.52162
Edwards County,IL,112.14756
Geary County,KS,112.11835
Leslie County,KY,112.11649
Montrose County,CO,111.93877
Antelope County,NE,111.80021
Bacon County,GA,111.53675
Clayton County,IA,111.51563
Gilliam County,OR,111.41621
Tyler County,WV,111.28696
Chelan County,WA,111.21799
Harrison County,WV,111.14404
Dickinson County,IA,111.05022
Pike County,KY,110.98497
Adams County,IL,110.98062
Irwin County,GA,110.92221
Clearfield County,PA,110.9129
Chariton County,MO,110.77992
Clinch County,GA,110.49968
Adams County,NE,110.39342
Grant County,NM,110.23933
Montgomery County,GA,110.11319
Dickinson County,KS,110.08523
Hancock County,KY,109.94479
Turner County,GA,109.89011
Kiowa County,KS,109.77951
Park County,WY,109.74223
Nance County,NE,109.6627
Gibson County,IN,109.61671
Cherokee County,NC,109.58813
Big Stone County,MN,109.3632
Pottawatomie County,KS,109.34206
Richland County,IL,109.311
Kimball County,NE,109.04195
Nemaha County,KS,108.87852
Ottawa County,KS,108.84995
Dodge County,WI,108.68217
Pershing County,NV,108.53304
Dale County,AL,108.4883
Autauga County,AL,108.25964
Douglas County,MN,108.25404
Fergus County,MT,108.24783
Cooper County,MO,108.14593
Crawford County,KS,108.12605
Bleckley County,GA,108.10305
Ferry County,WA,108.05396
Wood County,WV,108.05148
Vernon County,WI,107.93652
Hawaii County,HI,107.79258
Wells County,IN,107.76006
Polk County,TN,107.74514
Guadalupe County,NM,107.56059
Hill County,MT,107.5432
Griggs County,ND,107.37667
Benton County,MO,107.36735
Big Horn County,WY,107.18404
Bell County,KY,107.17845
Dekalb County,AL,107.07655
Hardy County,WV,106.8075
Marion County,MO,106.73355
Lyon County,KY,106.68322
Berrien County,GA,106.62543
Cameron County,PA,106.51234
Carroll County,IL,106.43654
Taylor County,WV,106.41417
Meade County,KY,106.29735
Kossuth County,IA,106.28243
Van Wert County,OH,106.27312
Clay County,AL,106.00406
Brown County,MN,105.67722
Watonwan County,MN,105.66355
Glacier County,MT,105.61819
Monroe County,WI,105.5486
Sheboygan County,WI,105.37212
Wallowa County,OR,105.33857
Dooly County,GA,105.29321
Bannock County,ID,105.19317
Preston County,WV,104.85825
Logan County,CO,104.84458
Forest County,PA,104.75262
Rio Arriba County,NM,104.74516
Hancock County,IL,104.7172
Pulaski County,GA,104.71347
Morris County,KS,104.35619
Gallia County,OH,104.23129
Anderson County,KY,103.97591
Nobles County,MN,103.89513
Mcdowell County,WV,103.86779
Huerfano County,CO,103.44525
Rowan County,KY,103.24082
Putnam County,MO,103.08362
Jackson County,CO,103.04509
Stoddard County,MO,102.98855
Alpena County,MI,102.9873
Pocahontas County,IA,102.96618
Bradley County,TN,102.85806
Hubbard County,MN,102.8506
New Madrid County,MO,102.69029
Stutsman County,ND,102.65238
Martin County,NC,102.57906
Houston County,AL,102.5772
Noble County,OK,102.57409
Otero County,CO,102.56539
Houghton County,MI,102.48586
Idaho County,ID,102.32865
Dubuque County,IA,102.03412
Summers County,WV,101.80111
Elmore County,AL,101.74891
Sanders County,MT,101.73151
Jessamine County,KY,101.65136
Craven County,NC,101.35185
Luce County,MI,101.32079
Clinton County,PA,101.3009
Wetzel County,WV,101.199
Clay County,IA,101.15115
Clark County,KY,101.14059
Sawyer County,WI,100.96039
Hamilton County,TN,100.71495
Chippewa County,WI,100.7106
Boundary County,ID,100.53289
Petroleum County,MT,100.45273
Sherman County,OR,100.21785
Bremer County,IA,100.15633
Stephenson County,IL,100.05692
Thayer County,NE,100.01093
Noble County,OH,99.999748
Jefferson County,KY,99.943207
Hall County,NE,99.874855
Henderson County,KY,99.80526
Gallatin County,MT,99.735672
Wilkinson County,GA,99.571625
Etowah County,AL,99.561066
Grundy County,MO,99.397644
Garrett County,MD,99.216827
Floyd County,IA,99.10498
Spencer County,IN,99.040352
Nantucket County,MA,99.031036
Pike County,AL,98.955223
Red Lake County,MN,98.932236
Toombs County,GA,98.908623
Livingston County,KY,98.588615
Butler County,IA,98.563759
Schoolcraft County,MI,98.544502
Monroe County,OH,98.308998
Treutlen County,GA,98.228844
Jefferson County,WI,98.191559
Webster County,KY,98.156761
Laurens County,GA,98.098976
Chautauqua County,KS,97.893921
Holmes County,FL,97.834892
Lanier County,GA,97.811905
St. Clair County,MO,97.779594
Winnebago County,IA,97.615547
Lee County,IA,97.577644
Wadena County,MN,97.514885
Harrison County,MO,97.475739
Liberty County,MT,97.433487
Clark County,MO,97.424789
Faribault County,MN,97.341522
Scioto County,OH,97.272552
Carteret County,NC,97.138962
Grainger County,TN,97.03022
Knox County,NE,96.795341
Allamakee County,IA,96.759926
Clay County,NC,96.758682
Wabaunsee County,KS,96.746872
Fulton County,KY,96.700272
Washington County,KS,96.625084
Tyrrell County,NC,96.592155
Kandiyohi County,MN,96.55114
Stafford County,KS,96.52877
Bon Homme County,SD,96.424385
Walker County,GA,96.342979
Wheatland County,MT,96.275253
Lawrence County,IL,96.23735
Letcher County,KY,96.206284
Merrick County,NE,96.198204
Barron County,WI,96.100647
Calhoun County,AL,96.078896
Clark County,IN,96.050316
Crittenden County,KY,95.963943
Crisp County,GA,95.929771
Allen County,KS,95.891869
Clay County,NE,95.638344
Perry County,IN,95.502266
Appling County,GA,95.310265
Marion County,WV,95.065445
Roberts County,SD,95.060471
Los Alamos County,NM,94.877167
Wayne County,IL,94.443451
Marshall County,KY,94.235909
Sevier County,TN,94.210434
Morrison County,MN,94.037697
Pendleton County,WV,93.99855
Graham County,NC,93.820839
Pike County,MO,93.75621
Gentry County,MO,93.676056
Fayette County,IA,93.665497
Twiggs County,GA,93.575394
Crawford County,MO,93.539978
Taylor County,IA,93.498962
Sargent County,ND,93.402657
Shelby County,KY,93.395821
Livingston County,MO,93.226181
Sitka Borough,AK,93.211197
Graves County,KY,93.164665
Warren County,PA,92.956512
Toole County,MT,92.927925
Allen County,IN,92.855225
Dare County,NC,92.845901
Cerro Gordo County,IA,92.505394
Lewis County,KY,92.2351
Eau Claire County,WI,92.198433
Brown County,KS,92.138786
Nodaway County,MO,91.901421
Erie County,PA,91.894585
Meigs County,OH,91.78212
Blair County,PA,91.695122
Union County,GA,91.530464
Worth County,GA,91.493179
Minnehaha County,SD,91.477646
Huntington County,IN,91.251465
Brantley County,GA,91.057602
Mason County,MI,91.015343
Saline County,MO,90.961906
Washington County,FL,90.927734
Venango County,PA,90.905983
Hancock County,IA,90.817749
Bland County,VA,90.769905
Uinta County,WY,90.678566
Tift County,GA,90.584732
Florence County,WI,90.553665
Woodford County,KY,90.409508
Gasconade County,MO,90.3424
Posey County,IN,90.12989
Wilson County,KS,90.118088
Lincoln County,OR,90.023636
Mercer County,WV,89.914276
Woodson County,KS,89.890045
Jefferson County,PA,89.847786
Worth County,IA,89.844063
Yavapai County,AZ,89.736565
Crowley County,CO,89.608559
Lee County,GA,89.57563
Jasper County,IL,89.567551
Lincoln County,CO,89.491119
De Kalb County,IN,89.326462
Grant County,WA,89.292908
Washington County,NC,89.261215
Franklin County,KY,89.158066
Itasca County,MN,89.149368
Jones County,NC,89.130104
Renville County,MN,89.119545
Ringgold County,IA,89.077286
Vernon County,MO,88.977867
Dougherty County,GA,88.808853
Jackson County,KS,88.735535
Clay County,IL,88.73056
Van Buren County,IA,88.634254
Bonneville County,ID,88.34407
Madison County,MO,88.302437
Towns County,GA,88.295601
Centre County,PA,88.253975
Harlan County,KY,88.179405
Hickman County,KY,87.984917
Calhoun County,GA,87.799126
Klickitat County,WA,87.794777
Fayette County,KY,87.790428
Coosa County,AL,87.71711
Jefferson County,ID,87.687904
Pitt County,NC,87.650002
Jones County,GA,87.533806
Fremont County,ID,87.39151
Catoosa County,GA,87.387779
Echols County,GA,87.375351
Bourbon County,KY,87.057831
Steele County,ND,87.036705
Rio Blanco County,CO,86.987
Mineral County,WV,86.981407
Baldwin County,GA,86.975815
Charlotte County,VA,86.832893
Delta County,CO,86.830414
Barber County,KS,86.772003
Nicholas County,KY,86.744041
Trempealeau County,WI,86.711105
Jay County,IN,86.618523
Pierce County,GA,86.547684
Crawford County,PA,86.424652
Henderson County,IL,86.414711
Gulf County,FL,86.409119
Montgomery County,AL,86.39048
Traverse County,MN,86.347603
Rock County,WI,86.229546
Grand County,CO,86.005852
Turner County,SD,85.959251
Madison County,NE,85.926315
Clatsop County,OR,85.770973
Coffey County,KS,85.752953
Saline County,KS,85.676521
Baker County,GA,85.42363
Florence County,SC,85.410576
Northampton County,NC,85.338501
Kay County,OK,85.32856
Cook County,GA,85.240944
Cochise County,AZ,85.206764
Floyd County,IN,85.070068
Montgomery County,MO,85.03154
Ware County,GA,84.844505
Halifax County,NC,84.828972
Mesa County,CO,84.817787
Platte County,NE,84.805359
Oscoda County,MI,84.800392
Richardson County,NE,84.641319
Henry County,AL,84.602798
Lewis County,ID,84.36792
Chippewa County,MI,84.349899
Greenbrier County,WV,84.321938
Cherokee County,AL,84.30143
Lyon County,KS,84.277199
Juab County,UT,84.17778
Harrison County,IN,84.108803
Essex County,VT,84.048531
Mercer County,MO,84.01001
Highland County,VA,83.990746
Jefferson County,TN,83.96154
Morgan County,OH,83.907478
Skagway Municipality,AK,83.890945
Allen County,OH,83.868958
Lenoir County,NC,83.827324
Houston County,GA,83.714859
Ouray County,CO,83.599281
Oldham County,KY,83.530312
Iosco County,MI,83.478737
Iron County,MI,83.417221
Grant County,MN,83.328987
Black Hawk County,IA,83.174263
Lassen County,CA,83.154999
Clinton County,IA,83.14444
Holt County,MO,83.089134
Horry County,SC,82.800819
Grant County,OK,82.628075
Klamath County,OR,82.549004
Houston County,MN,82.478951
Plumas County,CA,82.424889
Washington County,WI,82.180069
Hancock County,TN,82.091835
Wapello County,IA,82.016647
Mcdonough County,IL,81.952644
Mercer County,OH,81.89859
Wasco County,OR,81.881187
Pettis County,MO,81.870628
Grayson County,VA,81.817184
Madison County,ID,81.764374
Osceola County,IA,81.571747
Ashland County,WI,81.553108
Marshall County,KS,81.380981
Dolores County,CO,81.298965
Bourbon County,KS,81.1604
Lincoln County,SD,81.115036
Huntingdon County,PA,81.029289
Crawford County,IL,81.024315
Mc Kean County,PA,80.91185
Appanoose County,IA,80.769554
Blackford County,IN,80.614212
Bollinger County,MO,80.563263
Lincoln County,WY,80.49118
Pratt County,KS,80.398598
Dickinson County,MI,80.325897
Grand Forks County,ND,80.321548
Jackson County,OH,80.312851
Pierce County,NE,80.291725
Polk County,NE,80.266243
Sublette County,WY,80.064919
Sweet Grass County,MT,80.064301
Buchanan County,VA,80.039444
Fannin County,GA,79.875404
Guernsey County,OH,79.86235
Knox County,IN,79.844337
Rice County,KS,79.820724
Randolph County,AL,79.808296
Jackson County,IA,79.631828
Morgan County,CO,79.52681
Stanton County,NE,79.524948
Hudspeth County,TX,79.522461
Bertie County,NC,79.447899
Chattooga County,GA,79.439201
Pacific County,WA,79.276398
Paulding County,OH,79.266457
Jefferson County,IN,79.241608
Pike County,IN,79.138458
Caribou County,ID,78.927193
Carroll County,MO,78.839577
Fleming County,KY,78.771225
Deer Lodge County,MT,78.754448
Chase County,KS,78.698524
Clay County,GA,78.686722
Emanuel County,GA,78.643845
Cibola County,NM,78.123756
Lowndes County,GA,78.106361
Humboldt County,IA,78.028687
Hamilton County,NE,77.990784
Early County,GA,77.941071
Pine County,MN,77.7994
Clark County,IL,77.734779
Chickasaw County,IA,77.539665
Whiteside County,IL,77.525375
Buena Vista County,IA,77.486855
Treasure County,MT,77.448326
Williamsburg County,SC,77.241409
Washington County,MO,77.162498
Johnson County,GA,77.13826
Mahnomen County,MN,77.102226
Greene County,NC,77.085449
Nye County,NV,76.877907
Custer County,CO,76.764816
Otter Tail County,MN,76.72567
Meagher County,MT,76.71946
Chaffee County,CO,76.589592
Daviess County,MO,76.527458
Hampshire County,WV,76.456619
Park County,CO,76.433006
Accomack County,VA,76.320541
Scott County,IN,76.314949
Marion County,SC,76.245972
Delaware County,IA,76.178246
Carlisle County,KY,76.131638
Denali Borough,AK,76.103851
Oceana County,MI,76.057701
Shenandoah County,VA,75.979408
Henry County,KY,75.924728
Trimble County,KY,75.896767
Hamilton County,FL,75.861343
Calhoun County,IA,75.801697
Elbert County,GA,75.794235
Aitkin County,MN,75.716568
Union County,KY,75.694817
Des Moines County,IA,75.688606
Chowan County,NC,75.565575
Blue Earth County,MN,75.488525
Haines Borough,AK,75.346779
La Crosse County,WI,75.325104
Monongalia County,WV,75.307701
Roscommon County,MI,75.284088
Randolph County,IN,75.264206
Hardin County,IL,75.202072
Osceola County,MI,75.17659
Wythe County,VA,75.167274
Burnett County,WI,75.126884
Clearwater County,ID,75.114456
Ballard County,KY,75.034302
Tazewell County,VA,74.874611
Wabash County,IN,74.855347
Union County,OR,74.854721
Mecklenburg County,VA,74.803146
Clarion County,PA,74.557083
Coos County,OR,74.449242
Glynn County,GA,74.404854
Elk County,KS,74.386208
Whitfield County,GA,74.384964
Auglaize County,OH,74.378754
Winnebago County,IL,74.37751
Summit County,CO,74.263802
Allendale County,SC,74.245781
Kenai Peninsula Borough,AK,74.239288
Monroe County,WV,74.153816
Mercer County,IL,74.037003
Winneshiek County,IA,73.992264
Northumberland County,VA,73.984184
Sierra County,NM,73.976105
Bibb County,GA,73.844994
Dukes County,MA,73.808334
Crawford County,GA,73.677223
Ransom County,ND,73.597069
Bath County,VA,73.538658
Pike County,IL,73.424324
Dubois County,IN,73.341064
St. Francois County,MO,73.305023
Polk County,MN,73.181374
Union County,IA,73.155891
Peach County,GA,73.083817
Galax City,VA,73.008629
Brunswick County,VA,72.822838
Washburn County,WI,72.775612
Rabun County,GA,72.717209
Whitley County,IN,72.596657
Adams County,OH,72.55938
Bedford County,PA,72.48481
Darlington County,SC,72.423302
Fillmore County,NE,72.136848
Ozaukee County,WI,72.116341
Putnam County,GA,72.045502
Sac County,IA,71.972183
Grundy County,IA,71.877113
Appomattox County,VA,71.846664
Franklin County,FL,71.817459
Decatur County,IA,71.782661
Coos County,NH,71.781418
Dickenson County,VA,71.713074
Wahkiakum County,WA,71.701263
Putnam County,OH,71.680756
Henry County,MO,71.650314
Hamblen County,TN,71.618004
White County,IL,71.497452
Lunenburg County,VA,71.49559
Scott County,MO,71.492485
Pondera County,MT,71.36821
Allegany County,MD,71.297371
Athens County,OH,71.279976
Macon County,NC,71.008438
Cleburne County,AL,70.875465
Adams County,IA,70.833206
Audubon County,IA,70.809593
Belmont County,OH,70.787224
Otero County,NM,70.771072
Socorro County,NM,70.761749
Marshall County,WV,70.521278
Vinton County,OH,70.487106
Murray County,GA,70.423103
Coshocton County,OH,70.34108
Tillamook County,OR,70.324928
Osage County,KS,70.316231
Scott County,KY,70.305046
Ashe County,NC,70.299454
Lyon County,IA,70.123604
Pike County,OH,70.071411
Vermillion County,IN,69.990005
Mercer County,PA,69.965775
Dunn County,WI,69.81913
Somerset County,PA,69.768799
Colfax County,NE,69.768799
Caldwell County,NC,69.709152
Huron County,MI,69.59668
Tattnall County,GA,69.576797
Edgecombe County,NC,69.426422
Mccracken County,KY,69.340675
Baraga County,MI,69.32576
Mississippi County,MO,69.315201
Anderson County,KS,69.313332
Georgetown County,SC,69.309608
Siskiyou County,CA,69.127548
Macon County,GA,69.067268
Lycoming County,PA,68.987114
Yankton County,SD,68.975929
Big Horn County,MT,68.962257
Alpine County,CA,68.867188
Silver Bow County,MT,68.599998
Alleghany County,NC,68.499336
Montmorency County,MI,68.36512
Nicollet County,MN,68.337784
Effingham County,IL,68.332809
Wayne County,GA,68.294289
Granite County,MT,68.246437
Buchanan County,IA,68.134598
Franklin County,IA,68.092964
Crawford County,IA,68.071838
Allegany County,NY,67.946938
Andrew County,MO,67.909035
Sanilac County,MI,67.839439
Fayette County,IL,67.827637
Santa Cruz County,AZ,67.776688
Mitchell County,GA,67.776062
Wright County,IA,67.753075
Pawnee County,NE,67.737541
Atchison County,MO,67.735054
Candler County,GA,67.596489
Cuming County,NE,67.584679
Wayne County,IA,67.551125
Barnes County,ND,67.546776
Wise County,VA,67.535591
Meeker County,MN,67.43866
Rock Island County,IL,67.341721
Carroll County,IA,67.300095
Tallapoosa County,AL,67.256599
O'Brien County,IA,67.164635
Citrus County,FL,67.026688
Pittsylvania County,VA,66.947777
Dekalb County,MO,66.939079
Bear Lake County,ID,66.934723
Warren County,IL,66.894958
Pepin County,WI,66.754532
Waukesha County,WI,66.655731
Ogle County,IL,66.409042
Crawford County,IN,66.330132
Harrison County,OH,66.312737
Yuma County,AZ,66.305275
Albany County,WY,66.21891
Cumberland County,IL,66.212692
Bamberg County,SC,66.094635
Judith Basin County,MT,65.973465
Greene County,GA,65.922516
Bonner County,ID,65.918159
Terrell County,GA,65.911949
Hancock County,GA,65.855408
Chesterfield County,SC,65.790161
Sumter County,GA,65.7883
Lake County,MI,65.69944
Cambria County,PA,65.634819
Lee County,VA,65.557144
Emporia City,VA,65.547829
Clare County,MI,65.493767
Norton City,VA,65.426659
Steuben County,IN,65.37571
Freeborn County,MN,65.357063
Mitchell County,IA,65.307976
Henry County,IL,65.302383
Swain County,NC,65.254539
Page County,IA,65.229065
Greensville County,VA,65.0905
Defiance County,OH,64.773598
Buffalo County,WI,64.688469
Rutherford County,NC,64.681015
Prince Edward County,VA,64.635651
Warren County,MO,64.551765
Jefferson County,NE,64.513863
Benton County,MN,64.466637
Luna County,NM,64.348579
Kanabec County,MN,64.346092
Hampton County,SC,64.328072
Stephens County,GA,64.326828
Huron County,OH,64.162788
Poweshiek County,IA,64.154091
Screven County,GA,64.123024
Greenwood County,KS,64.108109
Brooks County,GA,64.090088
Barbour County,AL,64.02298
Brown County,IL,63.987564
Tama County,IA,63.972027
Colquitt County,GA,63.960224
Clarendon County,SC,63.924805
Jackson County,FL,63.912376
Ste. Genevieve County,MO,63.749577
Presque Isle County,MI,63.735909
Stearns County,MN,63.698624
Shoshone County,ID,63.645809
Barnstable County,MA,63.527126
Cass County,IA,63.407822
Doniphan County,KS,63.205257
Jefferson County,KS,63.153061
Webster County,IA,63.145603
Williams County,OH,63.103352
Noble County,IN,63.04805
Shawnee County,KS,63.046806
Washington County,GA,63.041836
Adair County,IA,63.010147
Del Norte County,CA,62.949261
Hardin County,OH,62.916939
Union County,PA,62.875931
Suwannee County,FL,62.827461
Erie County,OH,62.821869
Pope County,IL,62.779617
Adams County,WA,62.741714
Parke County,IN,62.733013
Golden Valley County,MT,62.727421
Trinity County,CA,62.699459
Lincoln County,MO,62.693245
Grant County,IN,62.685169
Caldwell County,MO,62.683926
Potter County,PA,62.574566
Delta County,MI,62.558411
Harrisonburg City,VA,62.539768
Highlands County,FL,62.435997
Wayne County,IN,62.424812
Lafayette County,FL,62.366405
Wyandot County,OH,62.35025
Churchill County,NV,62.186207
