County,State,Distance
Pike County,AR,415.73648
Haskell County,TX,415.25366
Franklin County,MS,415.20148
Sevier County,AR,415.03745
Hill County,TX,414.44031
Bethel Census Area,AK,414.18903
King County,TX,413.63501
Jefferson County,MS,412.42395
Somervell County,TX,410.54492
St. John The Baptist Parish,LA,409.08157
Claiborne County,MS,408.87344
Dallas County,AR,408.45712
Scurry County,TX,408.28622
Titus County,TX,407.46167
Tangipahoa Parish,LA,407.3461
Franklin County,TX,406.58243
Mitchell County,TX,405.15018
Throckmorton County,TX,404.79288
Plaquemines Parish,LA,404.56732
Rains County,TX,404.31195
Clark County,AR,402.73056
Pike County,MS,402.69577
Hopkins County,TX,401.90848
St. Charles Parish,LA,401.2399
Issaquena County,MS,400.96585
Madison Parish,LA,400.20593
Knox County,TX,399.89896
Bradley County,AR,399.09119
Ziebach County,SD,398.67734
Divide County,ND,395.57236
Washington Parish,LA,395.23743
Sutton County,TX,395.20886
Drew County,AR,395.12372
Kaufman County,TX,394.88449
Cottle County,TX,394.49304
Schleicher County,TX,394.08728
Hood County,TX,393.18753
Mccurtain County,OK,392.84515
Jefferson Parish,LA,392.75256
Lincoln County,MS,391.66891
Palo Pinto County,TX,391.30292
Humphreys County,MS,391.15628
Stephens County,TX,391.04565
Sharkey County,MS,390.17822
Ellis County,TX,390.00424
Red River County,TX,389.60098
Irion County,TX,388.99451
Garland County,AR,388.75778
Yazoo County,MS,388.6944
Chicot County,AR,386.82593
Perry County,AR,386.51587
Montgomery County,AR,385.86716
Dickens County,TX,385.31912
Sterling County,TX,382.9989
Rockwall County,TX,382.94919
Parker County,TX,382.86469
Hunt County,TX,382.19858
Delta County,TX,382.11966
Johnson County,TX,381.86987
Walthall County,MS,380.99435
St. Bernard Parish,LA,380.01633
Hot Spring County,AR,380.01385
Polk County,AR,379.95667
Orleans Parish,LA,379.64911
Desha County,AR,379.36203
Borden County,TX,378.50455
Warren County,MS,378.28271
Lincoln County,AR,377.86951
Cleveland County,AR,377.55634
Pearl River County,MS,375.88855
Conway County,AR,374.74771
Hall County,TX,374.07788
Holmes County,MS,370.58704
St. Tammany Parish,LA,369.96255
Collin County,TX,368.95096
Howard County,TX,368.51413
Baylor County,TX,367.9642
Burke County,ND,367.84863
Copiah County,MS,367.54977
Briscoe County,TX,367.18378
Grant County,AR,367.03339
Lawrence County,MS,366.83704
Dallas County,TX,365.89816
Motley County,TX,365.68628
Daniels County,MT,364.98972
Childress County,TX,364.49573
Yell County,AR,364.32111
Washington County,MS,364.23972
Young County,TX,362.35696
Marion County,MS,362.16061
Garza County,TX,361.90897
Dewey County,SD,361.65668
Tarrant County,TX,360.82217
Simpson County,MS,360.03055
Leflore County,MS,359.90256
Haakon County,SD,359.5813
Lamar County,TX,358.70206
Jack County,TX,358.41498
Crockett County,TX,357.55624
Saline County,AR,353.93799
Foard County,TX,353.28806
Madison County,MS,353.1532
Sheridan County,MT,353.03452
Glasscock County,TX,352.6207
Wise County,TX,352.31497
Fannin County,TX,352.28329
Collingsworth County,TX,351.21515
Jefferson Davis County,MS,350.63293
Jefferson County,AR,350.56396
Jackson County,SD,349.91214
Sunflower County,MS,349.66919
Mountrail County,ND,348.6203
Perkins County,SD,348.31335
Martin County,TX,348.29843
Crosby County,TX,347.82434
Pope County,AR,347.74854
Lynn County,TX,346.99603
Reagan County,TX,345.867
Carroll County,MS,345.5383
Dawson County,TX,343.88235
Donley County,TX,342.81979
Leake County,MS,342.81049
Hardeman County,TX,341.53854
Attala County,MS,340.96191
Lamar County,MS,340.69968
Hinds County,MS,340.27158
Forrest County,MS,339.00955
Oglala Lakota County,SD,337.60464
Pulaski County,AR,337.55182
Dillingham Census Area,AK,336.14749
Montgomery County,MS,336.10715
Wheeler County,TX,335.03156
Denton County,TX,333.60611
Calhoun County,MS,333.24323
Mckenzie County,ND,333.24014
Bolivar County,MS,332.80453
Scott County,AR,332.60944
Williams County,ND,332.59888
Swisher County,TX,332.25339
Harmon County,OK,331.98495
Hancock County,MS,331.75256
Logan County,AR,331.67737
Choctaw County,OK,331.51892
Covington County,MS,331.09952
Floyd County,TX,331.02991
Roosevelt County,MT,329.43298
Montague County,TX,329.00485
Pushmataha County,OK,328.68176
Lonoke County,AR,328.49286
Hutchinson County,TX,327.51855
Gray County,TX,327.48312
Stone County,MS,327.33212
Pennington County,SD,326.78223
Rankin County,MS,326.30191
Crane County,TX,326.05585
Arkansas County,AR,326.05585
Faulkner County,AR,325.94211
Bennett County,SD,325.59229
Sully County,SD,325.40836
Grayson County,TX,325.20395
Wilbarger County,TX,324.86404
Lubbock County,TX,323.0105
Mellette County,SD,322.88437
Hettinger County,ND,322.61966
Perry County,MS,322.31891
Terrell County,TX,321.89017
Johnson County,AR,321.28247
Dunn County,ND,320.42993
Corson County,SD,320.08694
Greer County,OK,319.4606
Smith County,MS,319.20273
Terry County,TX,319.02689
Winston County,MS,318.54782
Midland County,TX,317.78537
Custer County,SD,317.10995
Harding County,SD,317.09814
Renville County,ND,316.70358
Archer County,TX,316.57681
Carson County,TX,316.42209
Choctaw County,MS,315.81192
Adams County,ND,314.74377
Grenada County,MS,314.72141
Billings County,ND,314.65118
Atoka County,OK,313.82104
Clay County,TX,313.80054
Tallahatchie County,MS,313.09341
Armstrong County,TX,313.0704
Meade County,SD,312.45465
Roberts County,TX,312.37323
Latimer County,OK,312.16818
Hughes County,SD,311.91467
Moore County,TX,311.71582
Chickasaw County,MS,310.59735
Van Buren County,AR,310.16364
Andrews County,TX,309.82501
Stanley County,SD,309.46399
Bryan County,OK,309.36581
Hale County,TX,308.84012
Jefferson County,OK,307.58557
Harrison County,MS,306.63177
Yalobusha County,MS,306.49319
Franklin County,AR,305.84634
Hockley County,TX,305.6618
Jones County,MS,305.45615
Stone County,AR,305.25729
Upton County,TX,304.97769
Cleburne County,AR,304.60733
Cochran County,TX,303.22791
Webster County,MS,303.10611
Le Flore County,OK,301.9715
Wichita County,TX,301.50482
Greene County,MS,301.10095
Scott County,MS,300.30185
Fall River County,SD,299.84329
Castro County,TX,299.22253
Pontotoc County,MS,299.15668
Jackson County,OK,299.11194
Yoakum County,TX,299.06845
Ector County,TX,298.8721
Lafayette County,MS,298.44519
Tillman County,OK,297.42303
Sherman County,TX,297.37955
Union County,MS,296.90607
Prairie County,AR,295.80936
Jones County,SD,295.78076
Crook County,WY,295.3371
Bristol Bay Borough,AK,295.02887
Cooke County,TX,294.71759
Jasper County,MS,294.45724
Slope County,ND,294.40628
Stark County,ND,294.18323
Sebastian County,AR,292.91437
Weston County,WY,291.70395
Todd County,SD,290.112
Lake And Peninsula Borough,AK,290.10486
Coahoma County,MS,290.04987
Hansford County,TX,289.99765
Kiowa County,OK,288.50638
George County,MS,288.18823
Woodruff County,AR,287.59732
Sheridan County,NE,287.5246
Potter County,SD,287.50287
Grant County,NE,286.96103
Bottineau County,ND,286.10043
Neshoba County,MS,285.28268
Hemphill County,TX,285.11368
Randall County,TX,284.7247
Phillips County,AR,284.49417
Potter County,TX,284.32269
Marshall County,OK,284.17853
Lawrence County,SD,284.11453
Boise County,ID,283.8349
Lipscomb County,TX,283.79886
Benton County,MS,282.96872
Noxubee County,MS,282.79288
Wayne County,MS,282.56918
Gaines County,TX,282.51575
Quitman County,MS,282.23239
Jackson County,MS,281.56006
Monroe County,AR,281.26553
Prentiss County,MS,280.78769
Hyde County,SD,280.68704
Cimarron County,OK,280.66217
Mccone County,MT,280.53107
Clay County,MS,280.20361
Coal County,OK,279.95755
Lamb County,TX,279.90472
Walworth County,SD,279.65494
White County,AR,279.49091
Beckham County,OK,279.26471
Haskell County,OK,279.1597
Crawford County,AR,278.7757
Oktibbeha County,MS,278.52032
Lee County,MS,277.82748
Valley County,MT,277.68893
Kemper County,MS,277.49939
Searcy County,AR,277.37823
Newton County,MS,277.03958
Roger Mills County,OK,276.43002
Deaf Smith County,TX,276.3219
Hartley County,TX,276.19452
Ward County,ND,276.19391
Johnston County,OK,276.08081
Hooker County,NE,275.72787
Dawes County,NE,275.63715
Richland County,MT,274.9816
Panola County,MS,274.07751
Sequoyah County,OK,273.61832
Love County,OK,273.38965
Sioux County,ND,273.38406
Cotton County,OK,273.00439
Mercer County,ND,272.28113
Bowman County,ND,272.18234
Monroe County,MS,272.07855
Grant County,ND,271.98846
Dallam County,TX,271.1142
Butte County,SD,269.95471
Pittsburg County,OK,269.70554
Tishomingo County,MS,268.87665
Independence County,AR,268.73184
Baxter County,AR,268.70639
Adair County,OK,268.49451
Marion County,AR,267.66495
Decatur County,KS,267.01437
Morton County,KS,266.99014
Izard County,AR,265.57901
Clarke County,MS,265.40628
Washita County,OK,264.81723
Eureka County,NV,264.53326
Golden Valley County,ND,264.50592
Washington County,AL,264.24805
Tippah County,MS,263.54092
Hayes County,NE,263.30231
Marshall County,MS,263.00592
Mcpherson County,NE,261.85452
Itawamba County,MS,261.81412
Hardin County,TN,261.00946
Ochiltree County,TX,260.77396
Owyhee County,ID,260.54282
Newton County,AR,259.89346
Ward County,TX,259.63934
