id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
38219,Dunkn' Donuts,363 Millburn Avenue ,Millburn,New Jersey ,True,True,,"Have to be a ""paying customer""",40.723712,-74.3084516,2017-10-17 20:09:04.339000+00:00,2017-10-17 20:09:04.339000+00:00,0,0,US,True,38219,True,19.33976102658476,277.124534367417
23561,Grover Cleveland Travel Plaza,New Jersey Turnpike Northbound,Woodbridge Township,New Jersey,True,True,,Family/unisex restroom,40.563251,-74.282973,2016-06-24 22:42:42.301000+00:00,2016-06-24 22:42:42.301000+00:00,0,0,US,False,23561,True,19.46250274902824,251.262863889242
47944,NYIT-deSeversky Mansion,1 Northern Blvd,Glen Head,New York,True,True,"On the First Floor Near Stairwell Leading to NYCOMEC Area. For Driving Directions when on campus, follow the posted signs to the Mansion.",,40.8091088,-73.6143809,2019-03-06 15:28:16.270000+00:00,2019-03-17 01:12:17.119000+00:00,0,0,US,False,47943,True,19.489746668289385,68.345581947656
28918,Macy's Route 22 Furniture Gallery,114 Route 22 west,Springfield ,NJ ,True,True,,,40.68810999999999,-74.316789,2017-02-24 22:01:32.275000+00:00,2017-02-24 22:01:32.275000+00:00,0,0,US,False,28918,True,19.536149131050806,271.526721970887
22555,Cedar Medical,440 Kinderkamack,Oradell,NJ,True,True,In waiting room,This is a doctor's office. If you're not a patient I recommend asking for directions to Kindersmiles (a dentist down the block) and then ask if you can use the facilities while you're there. ,40.9556623,-74.03119629999999,2016-06-07 21:06:20.216000+00:00,2016-06-07 21:06:20.216000+00:00,0,0,US,False,22555,True,19.705078626318258,342.58491901128
43205,Benny's Luncheonette ,11-04 Saddle River Rd,Fair Lawn,NJ,True,True,The bathroom is located in the back of the restaurant ,"It is a gender-neutral bathroom, but you must be a customer to use it.",40.938749,-74.0989439,2018-08-25 17:14:45.204000+00:00,2018-08-25 17:14:45.204000+00:00,0,0,US,False,43205,True,19.739757041500084,329.288540124995
48259,NYIT-500 Building,500 Bldg,Glen Head,New York,True,True,On First Floor,,40.8098202,-73.6065683,2019-03-19 14:20:00.133000+00:00,2019-03-19 14:20:00.171000+00:00,0,0,US,False,48259,True,19.87526147615878,68.696889276481
48243,NYIT-Gerry House,Gerry House,Glen Head,New York,True,True,Near Room #113,,40.8123952,-73.6078562,2019-03-18 18:02:09.747000+00:00,2019-03-18 18:02:09.893000+00:00,0,0,US,False,48243,True,19.897333266849607,68.243235510743
48255,NYIT-Tower House,Tower House,Glen Head,New York,True,True,Near Conference Room,,40.8112397,-73.6069581,2019-03-19 14:03:28.217000+00:00,2019-03-19 14:03:28.340000+00:00,0,0,US,False,48255,True,19.902069117206175,68.465475759993
48256,NYIT-Rockfeller,Nelson A. Rockefeller Academic Center,Glen Head,NY,True,True,"Four in Building. B, 1, 2, & 3",,40.8103192,-73.6062922,2019-03-19 14:08:35.840000+00:00,2019-03-19 14:08:36.464000+00:00,0,0,US,False,48256,True,19.903845849643112,68.639307719961
48258,NYIT-Hannah and Charles Serota Academic Center,Hannah and Charles Serota Academic Center,Old Westbury,New York,True,True,Two Restrooms. One on the First Floor and one on the Second Floor.,,40.8103979,-73.6055102,2019-03-19 14:18:28.385000+00:00,2019-03-19 14:18:28.563000+00:00,0,0,US,False,48258,True,19.942710363244025,68.672647194918
48257,NYIT-Riland: Academic Health Care Center,Campus Dr,Glen Head,New York,True,True,"On First Floor. In NYCOM Clinic, near Nurse Station",,40.8099826,-73.6042827,2019-03-19 14:11:53.297000+00:00,2019-03-19 14:11:53.431000+00:00,0,0,US,False,48257,True,19.98680850166273,68.803619750886
48047,"Campus Dr, Glen Head, NY 11545, USA",Campus Dr,Glen Head,New York,True,True,Two Locations. One on the Lower Level and the other on the Second Floor,,40.8099826,-73.6042827,2019-03-11 17:08:39.010000+00:00,2019-03-11 17:08:39.032000+00:00,0,0,US,False,48047,True,19.98680850166273,68.803619750886
