id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
40806,"4205 Belfort Rd, Jacksonville, FL 32216, USA",4205 Belfort Rd,Jacksonville,Florida,True,True,"In hospital, every floor, look for signs","Single stalls, one toilet and sink in each, clean, NOT GENDERED ~ Jay (Agender)",30.25396,-81.5823487,2018-04-07 20:44:44.991000+00:00,2018-04-07 20:44:44.991000+00:00,0,1,US,False,40806,True,6.952384987354192,136.860287309333
40804,"St Lukes Ap, Jacksonville, FL 32216, USA",St Lukes Ap,Jacksonville,Florida,True,True,In hospital ,"Single stalls, one toilet and a sink each. NOT GENDER -Jay (Agender)",30.2538643,-81.5811813,2018-04-07 20:17:59.197000+00:00,2018-04-07 20:17:59.197000+00:00,0,2,US,False,40804,True,7.001513391896157,136.443365270669
43513,Target,6331 Roosevelt Blvd,Jacksonville,FL,True,True,"Next to the pharmacy, near the cosmetic section",labelled as a family bathroom but anyone can use it,30.2354031,-81.6943881,2018-09-10 02:25:16.442000+00:00,2018-09-10 02:25:16.442000+00:00,0,0,US,True,43513,True,7.075058723284494,201.814075515657
2433,Subway,4375 Southside Boulevard,Jacksonville,FL,True,True,,,30.267535,-81.558276,2014-02-02 20:52:27.753000+00:00,2014-02-02 20:52:27.753000+00:00,1,0,US,False,2433,True,7.327730209347485,123.580811770594
34704,Mellow mushroom,9734 deer lake ,Jacksonville,Fl,True,True,,,30.2649556,-81.5548003,2017-04-30 21:53:12.895000+00:00,2017-04-30 21:53:12.895000+00:00,0,0,US,False,34704,True,7.600811859798272,123.687864865307
34701,Mellow mushroom,9734 deer lake,Jacksonville ,Florida,True,True,,,30.2649556,-81.5548003,2017-04-30 21:51:49.460000+00:00,2017-04-30 21:51:49.460000+00:00,0,0,US,False,34701,True,7.600811859798272,123.687864865307
34702,Mellow mushroom,9734 deer lake,Jacksonville ,Florida,True,True,,,30.2649556,-81.5548003,2017-04-30 21:51:50.030000+00:00,2017-04-30 21:51:50.030000+00:00,0,0,US,False,34702,True,7.600811859798272,123.687864865307
39028,Chewy's,4914 Town Center Pkwy,Jacksonville ,Florida ,True,True,"Straight back past the bar, first door on the right.","It's a single stall ""family bathroom""",30.2547226,-81.53490219999999,2017-12-16 00:51:37.931000+00:00,2017-12-16 00:51:37.931000+00:00,0,0,US,False,39028,True,8.974309521766083,122.680455769505
22467,BJ's,4907 Gate Pkwy,Jacksonville,Florida,True,True,"""Family"" restroom, located between men's and women's rooms. Single stall!",,30.2521046,-81.5353421,2016-06-03 21:28:01.454000+00:00,2016-06-03 21:28:01.454000+00:00,0,0,US,False,22467,True,9.062622775555184,123.648262710957
52090,Florida State College at Jacksonville South Campus,11901 Beach Blvd,Jacksonville,Florida,True,True,"The building that has the library has a single/gender neutral/disabled stall on the first, second, and third floor.",Disabled stall,30.2918696,-81.5093627,2019-08-21 21:32:19.411000+00:00,2019-08-21 21:32:19.436000+00:00,0,0,US,False,52090,True,9.159540744325035,105.40716733599
21498,FSCJ South Campus,11901 Beach Blvd,Jacksonville,Florida,True,True,"Near the stairwell/elevator between D and B buildings. Across from the Men's and Women's restrooms, there's a short hallway, it's at the end of that hallway.","I don't think a lot of people know it's there, so it's pretty clean.",30.2918696,-81.5093627,2016-04-18 18:54:39.724000+00:00,2016-04-18 18:54:39.724000+00:00,0,0,US,False,21498,True,9.159540744325035,105.40716733599
21703,FSCJ South,"11901 Beach Blvd, Jacksonville, FL 32246",Jacksonville,Florida,True,True,"Located on all floors near gendered bathrooms of G building, most convenient is the on next to the stairs that go up to the computer lab/library",,30.2918696,-81.5093627,2016-04-28 18:28:28.165000+00:00,2016-04-28 18:28:28.165000+00:00,0,0,US,False,21703,True,9.159540744325035,105.40716733599
23753,Cheesecake Factory ,"St Johns Town Center, 10260 Midtown Pkwy",Jacksonville,FL,True,True,Down the same hall as and just past the gender bathrooms is a unisex/family/handicapped access bathroom. ,,30.2567181,-81.5281435,2016-07-01 22:15:33.516000+00:00,2016-07-01 22:15:33.516000+00:00,0,0,US,False,23753,True,9.222371447008504,120.619296757923
17196,Target,4567 river city drive,jacksonville,florida,True,True,On the right next to the other restrooms.,,30.2604628,-81.52486549999999,2015-04-20 01:35:11.589000+00:00,2015-04-20 01:35:11.589000+00:00,0,0,US,False,17196,True,9.242944707149467,118.739768103008
17197,Target,4567 river city drive,jacksonville,florida,True,True,On the right next to the other restrooms.,,30.2604628,-81.52486549999999,2015-04-20 01:35:15.189000+00:00,2015-04-20 01:35:15.189000+00:00,0,0,US,False,17197,True,9.242944707149467,118.739768103008
23827,Tevanna,4663 River City Dr,Jacksonville,Florida,True,True,,,30.2583295,-81.5257876,2016-07-04 16:14:37.535000+00:00,2016-07-04 16:14:37.535000+00:00,0,1,US,False,23827,True,9.276880508585002,119.627217923621
46616,CareSpot Urgent Care,2401 Monument Rd,Jacksonville,Florida,True,True,,,30.35812189999999,-81.5027404,2018-12-24 13:04:03.880000+00:00,2018-12-24 13:04:03.986000+00:00,0,0,US,False,46616,True,9.29211902952217,80.372605463667
37022,Osprey Clubhouse,11800 UNF Drive,Jacksonville,Florida,True,True,,,30.2782549,-81.5118497,2017-08-17 03:58:29.227000+00:00,2017-08-17 03:58:29.227000+00:00,0,1,US,False,37022,True,9.352322202082187,110.557237221651
26739,EBAR,4835 Town Crossing Dr.,Jacksonville,Florida,True,True,To the right as soon as you walk in the door.,,30.2535743,-81.5267047,2016-11-25 20:39:41.763000+00:00,2016-11-25 20:39:41.763000+00:00,0,0,US,False,26739,True,9.416988511061652,121.36772747979
17173,"143 Buckhead Branch Drive, Jacksonville, FL 32246, USA",143 Buckhead Branch Drive,Jacksonville,Florida,True,True,"Walk past coach toward the back parking lot, on the right there is a restroom and seating area. There is a gender neutral restroom inside.",,30.2545563,-81.524897,2015-04-18 17:11:07.397000+00:00,2015-04-18 17:11:07.397000+00:00,0,1,US,False,17173,True,9.466654259954788,120.69723186484
