id,name,street,city,state,accessible,unisex,directions,comment,latitude,longitude,created_at,updated_at,downvote,upvote,country,changing_table,edit_id,approved,distance,bearing
43513,Target,6331 Roosevelt Blvd,Jacksonville,FL,TRUE,TRUE,"Next to the pharmacy, near the cosmetic section",labelled as a family bathroom but anyone can use it,30.2354031,-81.694388,2018-09-10 02:25:16.442000+00:00,2018-09-10 02:25:16.442000+00:00,0,0,US,TRUE,43513,TRUE,7.07505872,201.814076
2433,Subway,4375 Southside Boulevard,Jacksonville,FL,TRUE,TRUE,,,30.267535,-81.558276,2014-02-02 20:52:27.753000+00:00,2014-02-02 20:52:27.753000+00:00,1,0,US,FALSE,2433,TRUE,7.32773021,123.580812
34702,Mellow mushroom,9734 deer lake,Jacksonville ,Florida,TRUE,TRUE,,,30.2649556,-81.5548,2017-04-30 21:51:50.030000+00:00,2017-04-30 21:51:50.030000+00:00,0,0,US,FALSE,34702,TRUE,7.60081186,123.687865
39028,Chewy's,4914 Town Center Pkwy,Jacksonville ,Florida ,TRUE,TRUE,"Straight back past the bar, first door on the right.","It's a single stall ""family bathroom""",30.2547226,-81.534902,2017-12-16 00:51:37.931000+00:00,2017-12-16 00:51:37.931000+00:00,0,0,US,FALSE,39028,TRUE,8.97430952,122.680456
22467,BJ's,4907 Gate Pkwy,Jacksonville,Florida,TRUE,TRUE,"""Family"" restroom, located between men's and women's rooms. Single stall!",,30.2521046,-81.535342,2016-06-03 21:28:01.454000+00:00,2016-06-03 21:28:01.454000+00:00,0,0,US,FALSE,22467,TRUE,9.06262278,123.648263
52090,Florida State College at Jacksonville South Campus,11901 Beach Blvd,Jacksonville,Florida,TRUE,TRUE,"The building that has the library has a single/gender neutral/disabled stall on the first, second, and third floor.",Disabled stall,30.2918696,-81.509363,2019-08-21 21:32:19.411000+00:00,2019-08-21 21:32:19.436000+00:00,0,0,US,FALSE,52090,TRUE,9.15954074,105.407167
21498,FSCJ South Campus,11901 Beach Blvd,Jacksonville,Florida,TRUE,TRUE,"Near the stairwell/elevator between D and B buildings. Across from the Men's and Women's restrooms, there's a short hallway, it's at the end of that hallway.","I don't think a lot of people know it's there, so it's pretty clean.",30.2918696,-81.509363,2016-04-18 18:54:39.724000+00:00,2016-04-18 18:54:39.724000+00:00,0,0,US,FALSE,21498,TRUE,9.15954074,105.407167
21703,FSCJ South,"11901 Beach Blvd, Jacksonville, FL 32246",Jacksonville,Florida,TRUE,TRUE,"Located on all floors near gendered bathrooms of G building, most convenient is the on next to the stairs that go up to the computer lab/library",,30.2918696,-81.509363,2016-04-28 18:28:28.165000+00:00,2016-04-28 18:28:28.165000+00:00,0,0,US,FALSE,21703,TRUE,9.15954074,105.407167
23753,Cheesecake Factory ,"St Johns Town Center, 10260 Midtown Pkwy",Jacksonville,FL,TRUE,TRUE,Down the same hall as and just past the gender bathrooms is a unisex/family/handicapped access bathroom. ,,30.2567181,-81.528144,2016-07-01 22:15:33.516000+00:00,2016-07-01 22:15:33.516000+00:00,0,0,US,FALSE,23753,TRUE,9.22237145,120.619297
17197,Target,4567 river city drive,jacksonville,florida,TRUE,TRUE,On the right next to the other restrooms.,,30.2604628,-81.524865,2015-04-20 01:35:15.189000+00:00,2015-04-20 01:35:15.189000+00:00,0,0,US,FALSE,17197,TRUE,9.24294471,118.739768
23827,Tevanna,4663 River City Dr,Jacksonville,Florida,TRUE,TRUE,,,30.2583295,-81.525788,2016-07-04 16:14:37.535000+00:00,2016-07-04 16:14:37.535000+00:00,0,1,US,FALSE,23827,TRUE,9.27688051,119.627218
46616,CareSpot Urgent Care,2401 Monument Rd,Jacksonville,Florida,TRUE,TRUE,,,30.3581219,-81.50274,2018-12-24 13:04:03.880000+00:00,2018-12-24 13:04:03.986000+00:00,0,0,US,FALSE,46616,TRUE,9.29211903,80.3726055
37022,Osprey Clubhouse,11800 UNF Drive,Jacksonville,Florida,TRUE,TRUE,,,30.2782549,-81.51185,2017-08-17 03:58:29.227000+00:00,2017-08-17 03:58:29.227000+00:00,0,1,US,FALSE,37022,TRUE,9.3523222,110.557237
26739,EBAR,4835 Town Crossing Dr.,Jacksonville,Florida,TRUE,TRUE,To the right as soon as you walk in the door.,,30.2535743,-81.526705,2016-11-25 20:39:41.763000+00:00,2016-11-25 20:39:41.763000+00:00,0,0,US,FALSE,26739,TRUE,9.41698851,121.367727
17173,"143 Buckhead Branch Drive, Jacksonville, FL 32246, USA",143 Buckhead Branch Drive,Jacksonville,Florida,TRUE,TRUE,"Walk past coach toward the back parking lot, on the right there is a restroom and seating area. There is a gender neutral restroom inside.",,30.2545563,-81.524897,2015-04-18 17:11:07.397000+00:00,2015-04-18 17:11:07.397000+00:00,0,1,US,FALSE,17173,TRUE,9.46665426,120.697232
40888,"4813 River City Dr, Jacksonville, FL 32246, USA",4813 River City Dr,Jacksonville,Florida,TRUE,TRUE,Restrooms right next to two Coca Cola machines. Just walk in and it is to the right,,30.2538282,-81.524928,2018-04-11 16:18:57.439000+00:00,2018-04-11 16:18:57.439000+00:00,0,0,US,TRUE,40888,TRUE,9.49376637,120.93849
63595,Beanies Bites,8375 Dix Ellis trail,Jacksonville,Florida,TRUE,TRUE,Go around the back of the building go through the door that says Hamilton Café go down the hallway past the mailboxes and elevator through the door and go down until you come to the hallway on the left and you will see the bathroom on the right hand side next to the ladies bathroom.Before you leave don’t forget to stop at Vinnys bites it’s inside the first door to your right when you first walked into the building marked Hamilton café. We haven’t been there long and we haven’t changed the signage on the door yet. I’m trans and we are %100 LGBTQ+++ and everybody else friendly. ,,30.2162715,-81.569478,2022-10-03 18:06:47.710000+00:00,2022-10-03 18:06:47.853000+00:00,0,2,US,FALSE,63595,TRUE,9.5173754,143.371647
29083,Hair cuttery,9550 baymeadows rd,Jacksonville,Fl,TRUE,TRUE,,,30.2195604,-81.559401,2017-02-25 01:40:33.788000+00:00,2017-02-25 01:40:33.788000+00:00,0,0,US,FALSE,29083,TRUE,9.67142083,139.482199
